id,latitude,longitude
15787,-10.92954536,-37.04532901
12464,-10.92383904,-37.04461969
4545,-10.36220235,-36.80437571
8817,-10.90858698,-37.04805112
18217,-10.97579717,-37.04702504
9414,-10.89526262,-37.05125429
14955,-10.94326771,-37.05778541
3027,-10.926169999999999,-37.102470000000004
18519,-10.83463516,-37.06761196
5453,-10.91717904,-37.08657166
16543,-10.98041451,-37.06476481
5754,-10.89725373,-37.05354416
11324,-10.90270816,-37.04822635
12216,-10.91872771,-37.04656387
14440,-10.92175814,-37.08227846
18426,-10.90267834,-37.08841412
3565,-10.49096093,-36.62041525
16658,-10.94691861,-37.06475296
15748,-10.92118769,-37.09078109
12928,-10.91113027,-37.06417782
6276,-10.98248267,-37.05300076
14248,-10.96390776,-37.06891943
12070,-10.949817699999999,-37.07167242
4352,-10.38533807,-36.88378926
6490,-10.90960524,-37.04780532
15038,-10.94339108,-37.06114982
8815,-10.90817701,-37.04809101
15017,-10.94308492,-37.0610799
18821,-10.94392537,-37.06887552
14481,-10.91551597,-37.08796465
11406,-10.97580667,-37.04705333
3033,-10.92615333,-37.10302833
12024,-10.94528827,-37.05118179
11949,-10.91300318,-37.04791079
4484,-10.35547887,-36.75778719
6127,-10.9823087,-37.05390328
251,-10.91850316,-37.05443409
2274,-10.98772167,-37.05248167
19034,-10.97043888,-37.067423100000006
10738,-10.94398687,-37.08739595
5698,-10.90530828,-37.05905009
2146,-10.97991167,-37.04846333
18336,-10.92273662,-37.04735802
6385,-10.94826304,-37.04552082
15196,-10.85755453,-37.05841086
16860,-10.91871485,-37.08113716
9967,-10.897045,-37.07979167
10409,-10.92688254,-37.07253049
10380,-10.91794334,-37.06926947
15911,-10.88089191,-36.99821327
5539,-10.94696086,-37.07147013
6949,-10.94786159,-37.07284255
1098,-10.90236454,-37.055243
9012,-10.94981717,-37.07165206
6355,-10.94141292,-37.05052095
6850,-10.91410484,-37.05742335
5772,-10.89693722,-37.0534323
1285,-10.91862926,-37.06329844
14996,-10.94313872,-37.06077641
14045,-10.91998405,-37.08778694
16035,-10.90424474,-37.0493386
2940,-10.92655667,-37.10224667
9041,-10.94943097,-37.07140113
4507,-10.34841011,-36.77651492
3687,-10.43293716,-36.66708564
17886,-10.91987826,-37.08710527
6577,-10.90303236,-37.05477347
3633,-10.45311862,-36.63993702
13535,-10.92616008,-37.10265139
9410,-10.89530435,-37.0526714
14439,-10.92184783,-37.08220302
16033,-10.90426436,-37.0497848
14821,-10.94852754,-37.045618100000006
9747,-10.89709333,-37.07970833
11747,-10.95703667,-37.045075
14614,-10.89685772,-37.05355311
13981,-10.91851243,-37.0575925
10408,-10.92634124,-37.07231307
14498,-10.90815905,-37.09131723
11876,-10.89776751,-37.05091161
6974,-10.94730905,-37.07102688
2191,-10.9214,-37.082115
4258,-10.38154562,-36.85354933
13291,-10.97430485,-37.04312975
6112,-10.97239657,-37.05395241
10853,-10.94285149,-37.06651735
5133,-10.90767434,-37.07309863
17766,-10.94423759,-37.068636100000006
5363,-10.90751281,-37.08059319
286,-10.91879595,-37.06735107
11224,-10.90726861,-37.0481332
1974,-10.97021167,-37.04514333
7179,-10.9151148,-37.0870727
4588,-10.37835477,-36.83701827
18520,-10.83464036,-37.06756829
18152,-10.97841635,-37.04736804
17016,-10.92291222,-37.09608905
1739,-10.92317167,-37.04867167
3274,-10.90939012,-37.07105823
5016,-10.90766993,-37.07314672
8723,-10.89615689,-37.0531224
3580,-10.47815892,-36.62285992
13414,-10.96731743,-37.04412279
10074,-10.89709333,-37.07970833
12099,-10.95135697,-37.06571404
13136,-10.94328037,-37.04752048
2451,-10.921285000000001,-37.10336833
5798,-10.89640117,-37.05512891
1828,-10.93086333,-37.04692667
17446,-10.93406652,-37.061834600000005
12780,-10.89686733,-37.05350894
9296,-10.90241433,-37.04983121
2589,-10.92678167,-37.10235333
3743,-10.42459026,-36.68670378
14833,-10.94263975,-37.05135176
155,-10.96630181,-37.06600845
16286,-11.01132409,-37.086938700000005
10487,-10.90983992,-37.06366742
3647,-10.44685565,-36.64620747
13774,-10.98657523,-37.0527374
18268,-10.92278206,-37.04734315
11808,-10.97385833,-37.042605
6233,-10.98635161,-37.06206873
14152,-11.01243145,-37.08474737
8836,-10.91722765,-37.04728877
10583,-10.93370413,-37.07502052
10639,-10.93877376,-37.0813494
12451,-10.91782608,-37.04700415
1383,-10.907214999999999,-37.05178167
5220,-10.89848774,-37.06138193
13865,-10.90330845,-37.08923576
6580,-10.90433307,-37.0538463
16979,-10.967787199999998,-37.04174752
17410,-10.93179614,-37.05888411
9214,-10.93215631,-37.04804629
9142,-10.94849963,-37.05774122
4375,-10.41324105,-36.69933909
1487,-10.91587833,-37.05161833
17488,-10.93770425,-37.0634906
12039,-10.95442452,-37.05306115
290,-10.91861474,-37.06844821
14470,-10.91797939,-37.085709
16029,-10.90365478,-37.05033614
16647,-10.94618407,-37.06279424
11133,-10.948314100000001,-37.04552472
14280,-10.95707983,-37.06936824
11995,-10.93083144,-37.04694816
5096,-10.90779377,-37.07328328
17759,-10.94423758,-37.06863605
10759,-10.94470191,-37.08822588
15084,-10.9228281,-37.04737236
17754,-10.94423749,-37.06863612
126,-10.94671859,-37.06308869
9113,-10.95271964,-37.05781487
2201,-10.91611167,-37.08720833
262,-10.91848843,-37.06081932
18442,-10.90366627,-37.07692375
2925,-10.92664167,-37.10207333
4747,-10.91841976,-37.05443633
834,-10.91835338,-37.07256829999999
12028,-10.94824404,-37.05129299
16239,-10.995096499999999,-37.06457186
124,-10.94527759,-37.06251654
10414,-10.92996033,-37.0736864
15265,-10.89624455,-37.05379419
15648,-10.91374211,-37.05280524
12839,-10.89746598,-37.0580906
13783,-10.97060393,-37.05476514
11376,-10.97578667,-37.04702
18545,-10.94422022,-37.0893055
4609,-10.38154562,-36.85354933
12946,-10.91613907,-37.06426894
16519,-10.98505527,-37.05274571
7385,-27.31661704,-48.630052
6444,-10.92820874,-37.04338748
15912,-10.88085541,-36.99824434
6654,-10.90557544,-37.05482808
1144,-10.90614223,-37.06403633
12895,-10.90763191,-37.06209038
5993,-10.9213142,-37.04645695
6130,-10.98278258,-37.05403212
1649,-10.91194667,-37.05270667
11267,-10.91861493,-37.04662896
13185,-10.93673335,-37.05045345
12125,-10.95020396,-37.05795173
1049,-10.8964454,-37.05376647
16562,-10.97273658,-37.06919005
17088,-10.91871482,-37.07059338
4174,-10.37797707,-36.81982705
1981,-10.97257667,-37.045845
5073,-10.90779339,-37.07328283
6160,-10.98518345,-37.05786454
13399,-10.96422498,-37.042282
9194,-10.94064973,-37.050561200000004
14049,-10.92016761,-37.08828368
19309,-10.94068381,-37.06285115
17378,-10.93138333,-37.05650363
13737,-10.97452702,-37.07699672
1698,-10.92228,-37.051655
14506,-10.90952554,-37.09217267
15343,-10.90849628,-37.07225811
13526,-10.92548818,-37.10390397
19261,-10.94418674,-37.08821087
6852,-10.91520023,-37.05742975
17798,-10.944235800000001,-37.06863316
3724,-10.44647591,-36.49794374
18850,-10.94363657,-37.06096141
4317,-10.42594058,-36.68566537
4121,-10.46571936,-36.63708541
18818,-10.94535584,-37.07054375
4722,-10.91831785,-37.04868209
7244,-10.9281401,-37.0731174
2673,-10.98769833,-37.05246167
22,-10.94153251,-37.05734578
10941,-10.94167948,-37.05729818
1201,-10.90773946,-37.07307666
6553,-10.89732997,-37.05789855
17562,-10.96241822,-37.06896177
12241,-10.90945026,-37.04776417
12374,-10.89518841,-37.05150734
17537,-10.97187541,-37.06720143
3064,-10.89744512,-37.05813513
17099,-10.91877936,-37.06599615
19500,-10.95510095,-37.05308853
4252,-10.38064318,-36.85081181
12378,-10.89554753,-37.05121018
15582,-10.90417165,-37.06879989
17604,-10.95524846,-37.06908352
11545,-10.92269167,-37.04728
15080,-10.92282957,-37.04737202
1519,-10.92233333,-37.05146167
10597,-10.93644772,-37.07603798
9428,-10.89789949,-37.0508684
17234,-10.932784300000002,-37.05346362
19074,-10.94383013,-37.08863776
10138,-10.897089999999999,-37.07970667
4516,-10.34889184,-36.78480606
17469,-10.93518872,-37.062843799999996
12979,-10.97584423,-37.04716248
9262,-10.91430629,-37.04775727
12407,-10.90268281,-37.05047584
15424,-10.85151742,-37.06948983
18877,-10.96870106,-37.06588084
12251,-10.90363391,-37.04811731
8850,-10.91794175,-37.04699362
